id	num	pos.score	pos.p.value	pos.fdr	pos.rank	pos.goodsgrna	pos.lfc	group
COG2	11	0.059082	0.1582	0.999995	39	4	0.34465	HECA_minus
COG5	14	0.0074255	0.033613	0.686105	17	6	0.20628	HECA_minus
COG7	11	0.011578	0.044326	0.769052	20	5	0.16701	HECA_minus
GALNT6	12	0.028431	0.093506	0.999995	27	5	0.13199	HECA_minus
UGT1A1	6	0.23371	0.34746	0.999995	97	2	0.11232	HECA_minus
C1GALT1	15	0.0015599	0.0087698	0.234085	13	7	0.1112	HECA_minus
POGLUT1	13	0.030908	0.10178	0.999995	29	5	0.087284	HECA_minus
B4GALNT4	12	0.55758	0.69703	0.999995	196	2	0.055822	HECA_minus
ACER2	8	0.025334	0.07379	0.984814	26	4	0.044491	HECA_minus
ARSE	12	0.088574	0.21777	0.999995	50	4	0.01717	HECA_minus
MGAT5	12	0.35909	0.55581	0.999995	136	2	0.0043348	HECA_minus
UXS1	12	0.0047366	0.021231	0.478341	15	6	-0.015837	HECA_minus
SLC35B3	11	0.090754	0.21961	0.999995	51	3	-0.033611	HECA_minus
CHST4	13	0.010341	0.042289	0.769052	19	6	-0.04133	HECA_minus
HAS1	13	0.028649	0.095762	0.999995	28	5	-0.050165	HECA_minus
MAN2A1	13	0.10954	0.26075	0.999995	58	4	-0.055137	HECA_minus
SMPD1	13	0.086028	0.22026	0.999995	49	4	-0.072107	HECA_minus
A4GNT	12	0.13305	0.29725	0.999995	64	4	-0.073994	HECA_minus
PIGM	10	0.34403	0.50306	0.999995	133	2	-0.090804	HECA_minus
SGSH	12	0.04961	0.14423	0.999995	36	3	-0.11198	HECA_minus
MGAT4A	12	0.015922	0.058258	0.916867	22	5	-0.1348	HECA_minus
POMGNT1	11	0.03325	0.1043	0.999995	30	4	-0.14836	HECA_minus
HYAL2	11	0.12725	0.27735	0.999995	61	3	-0.16351	HECA_minus
PAPSS2	12	0.50771	0.65986	0.999995	181	2	-0.22483	HECA_minus
FUT6	10	0.76007	0.7777	0.999995	247	1	-0.24964	HECA_minus
MGEA5	12	0.91541	0.91558	0.999995	292	0	-0.27004	HECA_minus
ABO	10	0.17525	0.33023	0.999995	78	3	-0.27451	HECA_minus
UGT2B17	12	0.1122	0.26082	0.999995	60	4	-0.27865	HECA_minus
COG8	12	0.098338	0.23585	0.999995	53	4	-0.27901	HECA_minus
GALNT15	9	0.28021	0.43202	0.999995	111	2	-0.28527	HECA_minus
ST6GALNAC3	12	0.30845	0.50341	0.999995	123	2	-0.29303	HECA_minus
HS3ST2	9	0.19425	0.35558	0.999995	88	2	-0.35444	HECA_minus
UGGT2	13	0.52408	0.68089	0.999995	184	2	-0.35732	HECA_minus
MGAT2	12	0.50666	0.65896	0.999995	179	2	-0.35798	HECA_minus
GAL3ST1	11	0.16875	0.3309	0.999995	75	3	-0.36132	HECA_minus
SLC17A5	9	0.052679	0.14112	0.999995	37	3	-0.39086	HECA_minus
NAGK	11	0.020215	0.069785	0.984814	24	4	-0.39294	HECA_minus
UGT2B4	12	0.10269	0.2435	0.999995	55	4	-0.39689	HECA_minus
ARSF	12	0.46166	0.62639	0.999995	161	2	-0.41057	HECA_minus
ST3GAL3	8	0.19159	0.32791	0.999995	85	2	-0.4197	HECA_minus
SLC35E2	6	0.055718	0.12581	0.999995	38	3	-0.42226	HECA_minus
ST3GAL1	12	0.13539	0.30149	0.999995	65	3	-0.4229	HECA_minus
GALNT13	12	0.19362	0.37158	0.999995	87	3	-0.42298	HECA_minus
GALC	13	0.43514	0.62371	0.999995	156	2	-0.42493	HECA_minus
GALNT9	12	0.19282	0.37075	0.999995	86	3	-0.42565	HECA_minus
LAMP2	13	0.14993	0.32679	0.999995	70	4	-0.42621	HECA_minus
GALNT10	13	0.75872	0.82333	0.999995	246	1	-0.43124	HECA_minus
HS3ST5	14	0.48666	0.67323	0.999995	171	2	-0.44872	HECA_minus
ARSB	12	0.038091	0.11868	0.999995	33	3	-0.45377	HECA_minus
ST8SIA1	10	0.70447	0.74498	0.999995	238	1	-0.46538	HECA_minus
GBA	10	0.31158	0.47725	0.999995	125	1	-0.46697	HECA_minus
FUT8	13	0.37615	0.57898	0.999995	145	3	-0.47824	HECA_minus
B3GALT1	12	0.1821	0.35819	0.999995	81	2	-0.48269	HECA_minus
SULT1B1	10	0.13023	0.26703	0.999995	62	2	-0.4835	HECA_minus
TPST1	12	0.33855	0.53796	0.999995	131	2	-0.49382	HECA_minus
SLC35E3	12	0.49824	0.65275	0.999995	177	2	-0.50671	HECA_minus
PPBP	10	0.022488	0.072548	0.984814	25	4	-0.51606	HECA_minus
PIGB	10	0.49103	0.62767	0.999995	173	1	-0.52695	HECA_minus
ST6GALNAC6	13	0.43125	0.62145	0.999995	155	2	-0.53481	HECA_minus
NAAA	12	0.26597	0.455	0.999995	108	3	-0.53674	HECA_minus
UGT1A4	6	0.49426	0.52775	0.999995	175	1	-0.54921	HECA_minus
B4GALT1	11	0.10009	0.23761	0.999995	54	4	-0.55313	HECA_minus
PIGQ	12	0.28454	0.47625	0.999995	113	2	-0.55831	HECA_minus
FUT3	12	0.092229	0.22464	0.999995	52	4	-0.57583	HECA_minus
COG3	13	0.68071	0.79401	0.999995	232	1	-0.58171	HECA_minus
HYAL3	12	0.37606	0.56697	0.999995	144	2	-0.58756	HECA_minus
CHST7	10	0.42176	0.56722	0.999995	153	2	-0.6021	HECA_minus
KHK	11	0.88171	0.8815	0.999995	277	0	-0.608	HECA_minus
UGT1A9	6	0.034079	0.082644	0.999995	31	3	-0.61305	HECA_minus
ST3GAL6	14	0.29617	0.50397	0.999995	116	3	-0.6137	HECA_minus
FUCA1	11	0.20073	0.37124	0.999995	89	3	-0.6218	HECA_minus
CHST12	12	0.45503	0.62151	0.999995	159	1	-0.63631	HECA_minus
SLC35F3	13	0.16652	0.35287	0.999995	74	3	-0.63859	HECA_minus
UGT1A5	8	0.36611	0.50209	0.999995	138	2	-0.63879	HECA_minus
MGAT4B	11	0.26007	0.4455	0.999995	106	2	-0.64605	HECA_minus
GALNT16	13	0.95943	0.95948	0.999995	310	0	-0.65026	HECA_minus
POMT1	12	0.22675	0.40939	0.999995	96	3	-0.65321	HECA_minus
B3GAT1	11	0.86053	0.86167	0.999995	271	1	-0.66178	HECA_minus
SLC35F5	13	0.37177	0.57452	0.999995	140	2	-0.66527	HECA_minus
B3GNT9	10	0.50689	0.64168	0.999995	180	2	-0.6693	HECA_minus
XXYLT1	11	0.46432	0.6137	0.999995	163	2	-0.67032	HECA_minus
B3GALNT2	10	0.37078	0.52464	0.999995	139	1	-0.67214	HECA_minus
B3GNT8	12	0.8331	0.84756	0.999995	258	1	-0.67681	HECA_minus
HS2ST1	12	0.18809	0.36559	0.999995	83	2	-0.68438	HECA_minus
SULF1	12	0.32107	0.5177	0.999995	126	3	-0.68512	HECA_minus
MAN2A2	12	0.61987	0.74719	0.999995	215	2	-0.70659	HECA_minus
SLC35D2	10	0.81179	0.81528	0.999995	252	1	-0.71345	HECA_minus
CMAHP	10	0.43604	0.57978	0.999995	157	1	-0.71453	HECA_minus
B3GALT2	11	0.13953	0.2927	0.999995	67	3	-0.71837	HECA_minus
B3GALNT1	13	0.065474	0.18364	0.999995	41	3	-0.72822	HECA_minus
ARSD	12	0.73447	0.79801	0.999995	245	1	-0.72993	HECA_minus
NAGLU	12	0.60438	0.73454	0.999995	214	2	-0.74173	HECA_minus
SULF2	12	0.57898	0.71389	0.999995	207	2	-0.74407	HECA_minus
CHST3	13	0.13141	0.29686	0.999995	63	2	-0.74812	HECA_minus
EXT2	11	0.072025	0.18366	0.999995	44	4	-0.75204	HECA_minus
NDST2	13	0.84542	0.86272	0.999995	264	1	-0.76019	HECA_minus
GAL3ST3	15	0.6505	0.78143	0.999995	220	2	-0.76181	HECA_minus
SULT1A3	10	0.47846	0.61663	0.999995	168	1	-0.7709	HECA_minus
LFNG	11	0.16315	0.32374	0.999995	73	3	-0.7743	HECA_minus
GALNT3	11	0.83756	0.84205	0.999995	261	1	-0.79757	HECA_minus
ST8SIA5	11	0.061417	0.16297	0.999995	40	4	-0.79969	HECA_minus
GALNT8	10	0.50061	0.63601	0.999995	178	1	-0.80582	HECA_minus
PIGA	15	0.71259	0.82193	0.999995	240	1	-0.80845	HECA_minus
GALK2	10	0.59695	0.69388	0.999995	213	1	-0.81136	HECA_minus
CSGALNACT1	13	0.88773	0.89092	0.999995	278	1	-0.82033	HECA_minus
HS6ST3	12	0.29786	0.49176	0.999995	117	1	-0.82686	HECA_minus
PIGC	14	0.83186	0.86644	0.999995	257	1	-0.83567	HECA_minus
GM2A	10	0.53504	0.66758	0.999995	187	2	-0.84082	HECA_minus
GYLTL1B	12	0.3076	0.50254	0.999995	121	3	-0.84984	HECA_minus
CHST10	11	0.30826	0.49732	0.999995	122	2	-0.85169	HECA_minus
POMGNT2	12	0.32169	0.51837	0.999995	127	1	-0.85642	HECA_minus
HAS2	12	0.034443	0.10948	0.999995	32	1	-0.8591	HECA_minus
HS6ST2	12	0.91821	0.91838	0.999995	295	0	-0.86028	HECA_minus
GALNT18	12	0.18715	0.36453	0.999995	82	1	-0.86064	HECA_minus
IDUA	12	0.87776	0.8801	0.999995	275	1	-0.86248	HECA_minus
B3GALT5	10	0.49378	0.62993	0.999995	174	1	-0.86755	HECA_minus
UGT1A6	6	0.87191	0.8712	0.999995	273	0	-0.89091	HECA_minus
CTNS	12	0.3645	0.55941	0.999995	137	2	-0.89233	HECA_minus
COG1	11	0.17443	0.33862	0.999995	77	3	-0.89484	HECA_minus
STT3B	12	0.4823	0.64129	0.999995	170	1	-0.90015	HECA_minus
SLC35D3	9	0.22272	0.38067	0.999995	95	2	-0.90026	HECA_minus
FUT9	12	0.82279	0.84099	0.999995	256	1	-0.90311	HECA_minus
HS6ST1	12	0.23608	0.42024	0.999995	99	2	-0.90364	HECA_minus
B4GALT6	11	0.24508	0.4268	0.999995	100	1	-0.90506	HECA_minus
B3GAT2	12	0.043247	0.13198	0.999995	34	2	-0.90817	HECA_minus
FUT4	14	0.65352	0.77556	0.999995	222	1	-0.91144	HECA_minus
FUT11	10	0.14594	0.28928	0.999995	69	2	-0.91605	HECA_minus
LARGE	12	0.54804	0.68941	0.999995	194	1	-0.91829	HECA_minus
NAGA	13	0.18977	0.38204	0.999995	84	2	-0.91882	HECA_minus
EOGT	14	0.25624	0.46571	0.999995	103	2	-0.93332	HECA_minus
B4GALT2	10	0.5307	0.66356	0.999995	186	2	-0.93334	HECA_minus
ST3GAL5	12	0.085885	0.21293	0.999995	48	4	-0.94401	HECA_minus
HS3ST3B1	12	0.56678	0.70419	0.999995	201	1	-0.94625	HECA_minus
POFUT1	14	0.64925	0.77244	0.999995	219	2	-0.94732	HECA_minus
LAMP1	14	0.90187	0.90506	0.999995	285	1	-0.95259	HECA_minus
HEXB	11	0.44808	0.60168	0.999995	158	2	-0.95392	HECA_minus
A4GALT	11	0.79728	0.81359	0.999995	251	1	-0.95664	HECA_minus
GALNT12	8	0.5209	0.60301	0.999995	182	1	-0.9581	HECA_minus
B3GNT6	13	0.32247	0.52344	0.999995	128	2	-0.96168	HECA_minus
POFUT2	14	0.89508	0.90044	0.999995	281	1	-0.96742	HECA_minus
CHST2	12	0.65255	0.76901	0.999995	221	1	-0.97235	HECA_minus
SLC35E4	12	0.10491	0.24737	0.999995	56	2	-0.98093	HECA_minus
ASAH1	11	0.57768	0.70793	0.999995	206	2	-0.98107	HECA_minus
UST	13	0.1075	0.25742	0.999995	57	4	-0.98163	HECA_minus
ST8SIA3	10	0.22007	0.39126	0.999995	94	3	-0.99144	HECA_minus
MAN1B1	13	0.98973	0.98988	0.999995	328	0	-0.99646	HECA_minus
CHST13	14	0.56809	0.72086	0.999995	202	2	-1.0022	HECA_minus
EXTL2	12	0.65828	0.77098	0.999995	223	1	-1.0122	HECA_minus
SLC35F4	10	0.49652	0.63224	0.999995	176	2	-1.0228	HECA_minus
GBGT1	13	0.66824	0.78439	0.999995	226	2	-1.0231	HECA_minus
CHST5	14	0.68404	0.79702	0.999995	235	2	-1.0266	HECA_minus
FUT10	10	0.11048	0.24106	0.999995	59	3	-1.0283	HECA_minus
NEU2	12	0.58616	0.71968	0.999995	209	1	-1.0332	HECA_minus
GAA	12	0.26248	0.45096	0.999995	107	3	-1.0368	HECA_minus
GALNT11	11	0.73171	0.77703	0.999995	244	1	-1.0381	HECA_minus
MFNG	12	0.47561	0.63618	0.999995	167	1	-1.0395	HECA_minus
UGT8	14	0.20227	0.40791	0.999995	90	2	-1.0409	HECA_minus
DSEL	13	0.52629	0.68246	0.999995	185	2	-1.0445	HECA_minus
GALNT5	11	0.4275	0.58574	0.999995	154	2	-1.0492	HECA_minus
EXT1	12	0.17623	0.35177	0.999995	79	3	-1.0509	HECA_minus
B4GALT4	11	0.67652	0.75256	0.999995	229	1	-1.0559	HECA_minus
GCNT3	13	0.66116	0.77906	0.999995	225	2	-1.0569	HECA_minus
EXTL1	12	0.082525	0.20634	0.999995	46	3	-1.0569	HECA_minus
MANBA	9	0.34915	0.49363	0.999995	134	2	-1.0679	HECA_minus
SLC35A3	10	0.79355	0.80048	0.999995	250	1	-1.069	HECA_minus
CTBS	12	0.15345	0.32488	0.999995	71	3	-1.078	HECA_minus
XYLT1	12	0.54464	0.68685	0.999995	192	2	-1.08	HECA_minus
FUT1	12	0.39651	0.5808	0.999995	151	1	-1.0826	HECA_minus
TPST2	10	0.97341	0.97311	0.999995	316	0	-1.095	HECA_minus
PIGP	11	0.87216	0.87257	0.999995	274	1	-1.0978	HECA_minus
UGT1A8	7	0.66023	0.66733	0.999995	224	1	-1.1072	HECA_minus
UGT1A10	11	0.55046	0.68476	0.999995	195	2	-1.108	HECA_minus
GALNT14	12	0.55966	0.69867	0.999995	197	2	-1.1177	HECA_minus
PGM1	13	0.57249	0.71322	0.999995	204	1	-1.1181	HECA_minus
RENBP	11	0.89643	0.8962	0.999995	283	0	-1.1188	HECA_minus
UGT1A7	7	0.54498	0.58599	0.999995	193	1	-1.1285	HECA_minus
NEU3	11	0.58741	0.71599	0.999995	211	2	-1.1292	HECA_minus
FPGT	11	0.81902	0.82803	0.999995	255	1	-1.1338	HECA_minus
HS3ST1	11	0.30542	0.4952	0.999995	119	1	-1.1407	HECA_minus
CHST14	12	0.47392	0.635	0.999995	166	1	-1.1452	HECA_minus
EXTL3	11	0.41999	0.58018	0.999995	152	2	-1.1493	HECA_minus
NEU1	12	0.92269	0.92289	0.999995	296	0	-1.1506	HECA_minus
GLCE	12	0.33422	0.53291	0.999995	130	2	-1.1519	HECA_minus
CTSA	11	0.38507	0.55349	0.999995	149	2	-1.154	HECA_minus
GALNT2	12	0.97901	0.97871	0.999995	320	0	-1.1548	HECA_minus
NPL	15	0.23472	0.45524	0.999995	98	3	-1.1558	HECA_minus
HYAL1	14	0.043479	0.13715	0.999995	35	2	-1.1696	HECA_minus
GLA	11	0.68149	0.75467	0.999995	233	1	-1.1851	HECA_minus
B3GNT3	13	0.94339	0.94368	0.999995	300	0	-1.1925	HECA_minus
GCNT4	9	0.37851	0.52105	0.999995	147	2	-1.1935	HECA_minus
B3GNT7	11	0.67552	0.75219	0.999995	228	1	-1.2061	HECA_minus
LAMP3	13	0.34104	0.54288	0.999995	132	2	-1.2126	HECA_minus
MAN1A1	11	0.97309	0.97323	0.999995	315	0	-1.2181	HECA_minus
UGT2B10	6	0.95748	0.95749	0.999995	309	0	-1.2198	HECA_minus
MAN1C1	12	0.46197	0.62657	0.999995	162	2	-1.2215	HECA_minus
CHST15	12	0.89513	0.89561	0.999995	282	1	-1.2436	HECA_minus
HYAL4	14	0.92288	0.92223	0.999995	297	1	-1.2486	HECA_minus
HS3ST4	13	0.2959	0.49502	0.999995	115	2	-1.2486	HECA_minus
GUSB	13	0.46736	0.6439	0.999995	164	2	-1.2581	HECA_minus
GALT	11	0.97813	0.97851	0.999995	319	0	-1.2651	HECA_minus
B3GNT5	9	0.37631	0.51923	0.999995	146	1	-1.2858	HECA_minus
LCT	10	0.91107	0.91059	0.999995	291	0	-1.3003	HECA_minus
B4GALNT2	14	0.30956	0.51715	0.999995	124	3	-1.3036	HECA_minus
PMM1	10	0.5359	0.66826	0.999995	188	2	-1.3047	HECA_minus
HPSE	11	0.56648	0.69856	0.999995	200	1	-1.3124	HECA_minus
SULT1C2	12	0.48868	0.64584	0.999995	172	2	-1.3139	HECA_minus
UGT1A3	7	0.3005	0.42721	0.999995	118	2	-1.3304	HECA_minus
NDST4	10	0.85988	0.85934	0.999995	270	0	-1.3322	HECA_minus
MGAT5B	10	0.88044	0.88001	0.999995	276	0	-1.3334	HECA_minus
SULT1A2	14	0.81185	0.85824	0.999995	253	1	-1.3656	HECA_minus
SLC35A5	10	0.15396	0.3003	0.999995	72	2	-1.3739	HECA_minus
B3GNT4	14	0.70432	0.81162	0.999995	237	2	-1.3756	HECA_minus
ST8SIA4	11	0.13752	0.29019	0.999995	66	3	-1.3767	HECA_minus
ST6GALNAC2	11	0.59092	0.71899	0.999995	212	2	-1.3779	HECA_minus
GAL3ST4	12	0.5703	0.70702	0.999995	203	2	-1.3808	HECA_minus
HK1	10	0.079434	0.19702	0.999995	45	1	-1.3824	HECA_minus
STS	11	0.58653	0.7154	0.999995	210	2	-1.3909	HECA_minus
CHPF	14	0.84175	0.87084	0.999995	263	1	-1.3923	HECA_minus
CHST9	11	0.77749	0.80156	0.999995	249	1	-1.3968	HECA_minus
ST8SIA6	12	0.94666	0.94682	0.999995	302	0	-1.3995	HECA_minus
SLC35D1	10	0.99205	0.99188	0.999995	330	0	-1.4043	HECA_minus
FUT2	13	0.14551	0.31963	0.999995	68	4	-1.4073	HECA_minus
ST8SIA2	9	0.3071	0.45595	0.999995	120	2	-1.4105	HECA_minus
POMT2	11	0.95397	0.95376	0.999995	306	0	-1.412	HECA_minus
CHST6	10	0.98656	0.98621	0.999995	323	0	-1.4145	HECA_minus
GMPPA	11	0.90947	0.90948	0.999995	290	0	-1.422	HECA_minus
ALG10	12	0.47896	0.63891	0.999995	169	1	-1.434	HECA_minus
GCNT2	12	0.90401	0.90411	0.999995	288	0	-1.4378	HECA_minus
NDST3	12	0.28733	0.47959	0.999995	114	2	-1.4487	HECA_minus
GALK1	12	0.90221	0.90234	0.999995	286	0	-1.4628	HECA_minus
UAP1	11	0.95564	0.9555	0.999995	307	0	-1.4759	HECA_minus
ST6GALNAC5	13	0.70722	0.80525	0.999995	239	1	-1.4764	HECA_minus
ST6GAL1	12	0.85102	0.85944	0.999995	266	1	-1.4872	HECA_minus
GNPDA1	11	0.5651	0.69737	0.999995	199	2	-1.4872	HECA_minus
GAL3ST2	11	0.89993	0.89978	0.999995	284	0	-1.4896	HECA_minus
ST6GALNAC1	12	0.083241	0.20754	0.999995	47	4	-1.4951	HECA_minus
SLC35A4	12	0.37312	0.56508	0.999995	142	1	-1.5016	HECA_minus
GALNT4	12	0.85727	0.86403	0.999995	268	1	-1.5047	HECA_minus
NDST1	11	0.89428	0.89394	0.999995	280	0	-1.5216	HECA_minus
LIPA	14	0.392	0.59791	0.999995	150	2	-1.5223	HECA_minus
HS3ST6	9	0.282	0.43364	0.999995	112	1	-1.5386	HECA_minus
GALNT1	13	0.96562	0.9659	0.999995	312	0	-1.541	HECA_minus
UGT2A1	11	0.47137	0.61899	0.999995	165	2	-1.5446	HECA_minus
B4GALNT1	10	0.81235	0.81561	0.999995	254	1	-1.5487	HECA_minus
B4GALNT3	12	0.97065	0.97043	0.999995	313	0	-1.5541	HECA_minus
CHST11	13	0.066577	0.18571	0.999995	42	3	-1.5626	HECA_minus
SULT1C3	10	0.24549	0.42379	0.999995	101	2	-1.5686	HECA_minus
HK3	12	0.3726	0.56472	0.999995	141	2	-1.5702	HECA_minus
GNS	11	0.21203	0.38516	0.999995	92	1	-1.5751	HECA_minus
SLC35F1	10	0.93765	0.93681	0.999995	298	0	-1.5871	HECA_minus
ALG3	13	0.98043	0.98085	0.999995	321	0	-1.6048	HECA_minus
COG4	9	0.97111	0.97136	0.999995	314	0	-1.6085	HECA_minus
MGAT3	11	0.84894	0.85154	0.999995	265	1	-1.6085	HECA_minus
SLC35C2	9	0.2129	0.3718	0.999995	93	1	-1.6171	HECA_minus
GFPT2	11	0.25154	0.43463	0.999995	102	2	-1.6225	HECA_minus
FUT5	11	0.67951	0.75376	0.999995	231	1	-1.6272	HECA_minus
GNPNAT1	8	0.83639	0.83796	0.999995	259	0	-1.6366	HECA_minus
CHST8	15	0.54428	0.72111	0.999995	191	2	-1.6376	HECA_minus
PIGH	11	0.95311	0.95293	0.999995	305	0	-1.6476	HECA_minus
SLC35B2	12	0.99894	0.99901	0.999995	341	0	-1.6508	HECA_minus
SULT1C4	11	0.72141	0.7721	0.999995	242	1	-1.6584	HECA_minus
RFNG	11	0.27694	0.46563	0.999995	110	2	-1.6946	HECA_minus
IDS	9	0.95744	0.95774	0.999995	308	0	-1.7001	HECA_minus
ST6GALNAC4	11	0.98293	0.98302	0.999995	322	0	-1.7041	HECA_minus
UGT2B28	7	0.90417	0.90437	0.999995	289	0	-1.7175	HECA_minus
GALNT17	10	0.5385	0.67113	0.999995	189	2	-1.7359	HECA_minus
HAS3	14	0.95129	0.95086	0.999995	304	0	-1.7503	HECA_minus
GLB1	11	0.68929	0.75775	0.999995	236	1	-1.7633	HECA_minus
SLC35F2	13	0.52187	0.67947	0.999995	183	2	-1.7821	HECA_minus
NEU4	12	0.89121	0.89172	0.999995	279	1	-1.7906	HECA_minus
SLC35E1	11	0.86824	0.86894	0.999995	272	1	-1.8309	HECA_minus
GALNT7	11	0.97481	0.97504	0.999995	317	0	-1.8616	HECA_minus
XYLT2	10	0.94552	0.94484	0.999995	301	0	-1.8766	HECA_minus
HEXA	10	0.071707	0.18148	0.999995	43	2	-1.8842	HECA_minus
PAPSS1	13	0.99189	0.99208	0.999995	329	0	-1.8878	HECA_minus
HPSE2	10	0.34993	0.5076	0.999995	135	2	-1.925	HECA_minus
GALNS	11	0.17266	0.33614	0.999995	76	2	-1.9374	HECA_minus
UGCG	11	0.98901	0.98907	0.999995	325	0	-1.9455	HECA_minus
DPM2	10	0.99533	0.99522	0.999995	334	0	-1.9508	HECA_minus
B3GAT3	10	0.17769	0.33396	0.999995	80	2	-1.9575	HECA_minus
B3GNT2	11	0.85912	0.86053	0.999995	269	1	-1.9753	HECA_minus
B4GALT3	13	0.21172	0.40564	0.999995	91	1	-1.9896	HECA_minus
MAN2B1	11	0.91731	0.91745	0.999995	294	0	-2.0192	HECA_minus
ASAH2	11	0.37917	0.54915	0.999995	148	2	-2.0348	HECA_minus
HS3ST3A1	10	0.83668	0.83698	0.999995	260	1	-2.0366	HECA_minus
CSGALNACT2	10	0.99997	0.99996	0.999995	344	0	-2.0525	HECA_minus
ST6GAL2	11	0.90298	0.90291	0.999995	287	0	-2.0763	HECA_minus
UGDH	13	0.25863	0.45509	0.999995	105	3	-2.0985	HECA_minus
ST3GAL2	13	0.26681	0.46372	0.999995	109	2	-2.1669	HECA_minus
AGA	11	0.56386	0.69614	0.999995	198	1	-2.169	HECA_minus
DPM1	12	0.62997	0.75526	0.999995	217	1	-2.1816	HECA_minus
SLC35B4	14	0.64411	0.76903	0.999995	218	1	-2.2927	HECA_minus
B3GALT6	11	0.7266	0.77449	0.999995	243	1	-2.3837	HECA_minus
CHPF2	12	0.6238	0.75056	0.999995	216	1	-2.3867	HECA_minus
MPI	12	0.98916	0.98936	0.999995	327	0	-2.4001	HECA_minus
ALG8	12	0.99359	0.99379	0.999995	331	0	-2.4286	HECA_minus
ARSA	11	0.53931	0.67554	0.999995	190	2	-2.444	HECA_minus
GFPT1	11	0.012483	0.047019	0.776929	21	1	-2.4467	HECA_minus
ALG10B	12	0.8547	0.86212	0.999995	267	1	-2.4579	HECA_minus
ALG13	7	0.68279	0.68618	0.999995	234	1	-2.5005	HECA_minus
RPN2	10	0.83817	0.83846	0.999995	262	1	-2.5115	HECA_minus
CHST1	13	0.67021	0.78612	0.999995	227	1	-2.5137	HECA_minus
RPN1	11	0.77246	0.79863	0.999995	248	1	-2.5153	HECA_minus
SLC35A2	8	0.32853	0.46409	0.999995	129	1	-2.5474	HECA_minus
ALG11	11	0.99393	0.99403	0.999995	333	0	-2.6629	HECA_minus
B4GALT7	12	0.67928	0.77788	0.999995	230	1	-2.7284	HECA_minus
ALG5	11	0.45952	0.60982	0.999995	160	1	-2.7726	HECA_minus
MGAT1	10	0.99362	0.99361	0.999995	332	0	-2.8259	HECA_minus
DPAGT1	12	0.99808	0.99816	0.999995	339	0	-2.9562	HECA_minus
ALG6	10	0.99997	0.99997	0.999995	345	0	-3.1449	HECA_minus
MAN1A2	12	0.99999	1	0.999995	346	0	-3.1686	HECA_minus
CHSY1	12	0.99916	0.99923	0.999995	342	0	-3.1812	HECA_minus
ALG12	11	0.9499	0.94958	0.999995	303	0	-3.3107	HECA_minus
ALG2	12	0.96214	0.96216	0.999995	311	0	-3.3158	HECA_minus
GMPPB	10	0.91556	0.91505	0.999995	293	0	-3.4561	HECA_minus
ALG14	12	0.99796	0.99795	0.999995	337	0	-3.4996	HECA_minus
DPM3	9	0.99642	0.99667	0.999995	336	0	-3.5547	HECA_minus
ALG1	11	0.37598	0.54693	0.999995	143	2	-3.6895	HECA_minus
ALG9	15	0.93837	0.93958	0.999995	299	1	-3.6988	HECA_minus
OGT	10	0.71774	0.75239	0.999995	241	1	-3.7066	HECA_minus
GNB1	12	0.998	0.99803	0.999995	338	0	-3.9104	HECA_minus
SLC35B1	9	0.99878	0.99898	0.999995	340	0	-4.0297	HECA_minus
PMM2	11	0.99546	0.99559	0.999995	335	0	-4.2086	HECA_minus
GNB2L1	12	0.98906	0.98927	0.999995	326	0	-4.3032	HECA_minus
B4GALT5	11	0.5844	0.7136	0.999995	208	1	-4.356	HECA_minus
DAD1	7	0.98787	0.98808	0.999995	324	0	-4.4225	HECA_minus
UGP2	13	0.57439	0.71468	0.999995	205	2	-4.5677	HECA_minus
GALE	12	0.25721	0.44504	0.999995	104	1	-4.8655	HECA_minus
STT3A	10	0.97738	0.97725	0.999995	318	0	-5.004	HECA_minus
DDOST	10	0.99934	0.99933	0.999995	343	0	-5.0217	HECA_minus
GPI	11	1	1	0.999995	347	0	-5.26	HECA_minus
NANS	11	1.06e-18	4.9687e-06	0.000115	2	10	3.8077	P_minus
PAPSS1	13	2.015e-15	4.9687e-06	0.000115	5	13	3.7927	P_minus
SLC35A1	10	3.3099e-12	4.9687e-06	0.000115	11	10	3.7269	P_minus
FUT7	14	1.7051e-21	4.9687e-06	0.000115	1	14	3.5836	P_minus
SLC35B2	12	7.3059e-15	4.9687e-06	0.000115	6	10	3.4562	P_minus
GCNT1	11	1.9713e-15	4.9687e-06	0.000115	4	11	3.421	P_minus
GNE	11	1.055e-14	4.9687e-06	0.000115	7	11	3.3648	P_minus
CMAS	9	3.0749e-13	4.9687e-06	0.000115	9	9	3.3326	P_minus
ST3GAL4	12	2.7206e-18	4.9687e-06	0.000115	3	12	3.2396	P_minus
C1GALT1C1	10	6.251e-14	4.9687e-06	0.000115	8	10	2.4719	P_minus
SLC35C1	11	9.8256e-10	4.9687e-06	0.000115	14	10	2.3687	P_minus
C1GALT1	15	9.5238e-13	4.9687e-06	0.000115	10	14	2.2547	P_minus
TSTA3	14	2.2133e-11	4.9687e-06	0.000115	12	12	1.4087	P_minus
GMDS	10	4.6312e-10	4.9687e-06	0.000115	13	10	1.2854	P_minus
TPST2	10	1.2163e-07	4.9687e-06	0.000115	15	8	1.2532	P_minus
SLC17A5	9	0.053074	0.13052	0.999995	22	3	0.27595	P_minus
MGAT4A	12	0.024171	0.080697	0.999995	18	4	0.1178	P_minus
