Gene name	Transcript stable ID	Chromosome/scaffold name	Transcript start (bp)	Transcript end (bp)
MOGS	ENST00000409065	2	74461069	74465385
SULT1C2	ENST00000409067	2	108293679	108308693
ST6GAL2	ENST00000409087	2	106813076	106887108
SLC35F5	ENST00000409106	2	113714353	113756693
GALNT13	ENST00000409237	2	153944498	154451303
SULT1C4	ENST00000409309	2	108378185	108387640
SLC35F5	ENST00000409342	2	113741884	113756620
ST6GAL2	ENST00000409382	2	106801604	106886646
MGAT4A	ENST00000409391	2	98625505	98726832
UXS1	ENST00000409501	2	106093508	106194299
PIGQ	ENST00000409527	16	567009	583035
MGAT5	ENST00000409645	2	134120182	134454621
SLC35E1	ENST00000409648	19	16550850	16571536
CHST10	ENST00000409701	2	100393245	100417011
SULT1C2	ENST00000409880	2	108288915	108308713
GALNT3	ENST00000409882	2	165747803	165761907
DPAGT1	ENST00000409993	11	119096503	119108331
GCNT2	ENST00000410107	6	10492223	10627222
NEU1	ENST00000411774	CHR_HSCHR6_MHC_SSTO_CTG1	31851744	31855624
GAL3ST1	ENST00000411821	22	30555970	30572869
HS3ST5	ENST00000411826	6	114055586	114062877
ALG3	ENST00000411922	3	184242301	184248962
GALNT9	ENST00000411988	12	132196509	132257742
GAL3ST4	ENST00000411994	7	100159816	100167230
GALNT3	ENST00000412248	2	165757047	165794659
DPM1	ENST00000413082	20	50936148	50958532
LARGE1	ENST00000413114	22	33650368	33922841
SLC35A2	ENST00000413561	X	48903614	48909872
GAL3ST4	ENST00000413800	7	100159244	100167284
LARGE2	ENST00000414027	11	45924617	45926830
DPAGT1	ENST00000414373	11	119096549	119101860
MGAT4A	ENST00000414521	2	98619108	98663473
PMM1	ENST00000414636	22	41584020	41589847
MOGS	ENST00000414701	2	74462997	74465393
ALG3	ENST00000414845	3	184242885	184248933
HYAL2	ENST00000415028	3	50320347	50321149
POMT1	ENST00000415075	9	131502971	131512127
DDOST	ENST00000415136	1	20651767	20661544
HYAL3	ENST00000415204	3	50292981	50299401
NANS	ENST00000415280	9	98076829	98081055
B3GALT4	ENST00000415322	CHR_HSCHR6_MHC_COX_CTG1	33198732	33200425
GALNT11	ENST00000415421	7	152074986	152104892
GLB1	ENST00000415454	3	33046156	33097121
GPI	ENST00000415930	19	34364740	34402413
NEU4	ENST00000415936	2	241809065	241816493
FUT10	ENST00000416169	8	33451728	33473113
ST6GAL1	ENST00000416235	3	187024688	187042927
UXS1	ENST00000416298	2	106104794	106160625
GAL3ST1	ENST00000416358	22	30555714	30572864
EXTL2	ENST00000416479	1	100877519	100894811
COG6	ENST00000416691	13	39655627	39791665
SLC35B4	ENST00000416907	7	134294552	134316903
MFNG	ENST00000416983	22	37469063	37486387
B3GALNT1	ENST00000417187	3	161084297	161104822
ST6GAL1	ENST00000417392	3	186931352	187043043
GALE	ENST00000418277	1	23796509	23800770
B4GALNT1	ENST00000418555	12	57626428	57632647
HYAL1	ENST00000418723	3	50302647	50303574
POMT1	ENST00000418774	9	131502959	131507514
NAGK	ENST00000418807	2	71068588	71079805
GNS	ENST00000418919	12	64713445	64752871
XXYLT1	ENST00000418940	3	195069970	195247856
GALNT11	ENST00000419245	7	152093966	152103252
B3GALT4	ENST00000419471	CHR_HSCHR6_MHC_DBB_CTG1	33255053	33256746
CTSA	ENST00000419493	20	45892752	45895132
SULF1	ENST00000419716	8	69492793	69660055
NEU4	ENST00000420288	2	241811397	241816374
SLC35C2	ENST00000420518	20	46352164	46358506
CHST10	ENST00000420858	2	100397936	100415845
PIGQ	ENST00000420990	16	578405	582647
SLC35E1	ENST00000421082	19	16553817	16557135
HK1	ENST00000421088	10	69282555	69364786
GUSB	ENST00000421103	7	65960701	65982211
MAN1A2	ENST00000421535	1	117496780	117523322
LARGE1	ENST00000421768	22	33337769	33572253
SLC35A3	ENST00000422078	1	99993043	100015341
GALNT13	ENST00000422126	2	154409011	154450793
PIGQ	ENST00000422307	16	569976	577234
MAN1A2	ENST00000422329	1	117502861	117525352
COG6	ENST00000422759	13	39655662	39678144
NEU1	ENST00000422978	CHR_HSCHR6_MHC_MCF_CTG1	31935529	31939383
GALNT11	ENST00000422997	7	152079275	152104891
POMT1	ENST00000423007	9	131502902	131523806
GAL3ST1	ENST00000423299	22	30555778	30564914
GALNT11	ENST00000423337	7	152025798	152103174
GAL3ST1	ENST00000423371	22	30555890	30572868
NEU1	ENST00000423382	CHR_HSCHR6_MHC_APD_CTG1	31926075	31929929
ST6GAL1	ENST00000423451	3	187025479	187043084
STT3B	ENST00000423527	3	31532972	31620274
NEU4	ENST00000423583	2	241809235	241816159
RENBP	ENST00000423624	X	153935286	153944626
GAL3ST4	ENST00000423751	7	100159646	100168613
ALG3	ENST00000423996	3	184243791	184248949
GALNT14	ENST00000424136	2	30945842	31138055
HYAL2	ENST00000424190	3	50320137	50320987
EOGT	ENST00000424374	3	69007737	69013599
SLC35C2	ENST00000424568	20	46355104	46358764
MFNG	ENST00000424765	22	37480279	37486393
CMAHP	ENST00000424868	6	25061626	25081873
FUT2	ENST00000425340	19	48695971	48705951
GALNT10	ENST00000425427	5	154190730	154389581
TSTA3	ENST00000425753	8	143612618	143617549
GALE	ENST00000425913	1	23797092	23800523
NEU4	ENST00000426032	2	241811396	241816456
GAL3ST1	ENST00000426220	22	30555929	30572834
HYAL2	ENST00000426286	3	50320246	50320948
ST6GAL1	ENST00000427315	3	186930534	187074204
GBA	ENST00000427500	1	155234559	155241275
NANS	ENST00000427646	9	98078321	98082166
MGAT1	ENST00000427865	5	180791482	180803904
GAL3ST1	ENST00000427899	22	30555737	30560773
SLC35A3	ENST00000427993	1	99969979	100023259
GBA	ENST00000428024	1	155234868	155244699
HYAL2	ENST00000428028	3	50320260	50322741
IDS	ENST00000428056	X	149502660	149505280
NAGK	ENST00000428360	2	71070502	71072740
NEU4	ENST00000428592	2	241814017	241815000
GAL3ST1	ENST00000428682	22	30555917	30564901
MGAT5B	ENST00000428789	17	76872647	76950382
LIPA	ENST00000428800	10	89222533	89247831
GALE	ENST00000429356	1	23796151	23799533
MGAT3	ENST00000429402	22	39472788	39487830
RFNG	ENST00000429557	17	82048553	82051434
KHK	ENST00000429697	2	27086794	27099468
OGA	ENST00000429860	10	101803747	101817866
C1GALT1	ENST00000429911	7	7156934	7238428
XXYLT1	ENST00000429994	3	195069677	195247920
GALNT11	ENST00000430044	7	152025674	152122340
UGGT1	ENST00000430075	2	128091200	128108054
GALNT14	ENST00000430167	2	30924198	31138503
LARGE1	ENST00000430220	22	33650367	33861624
GALNT15	ENST00000430410	3	16175665	16208645
MFNG	ENST00000430411	22	37476896	37486387
POMT1	ENST00000430619	9	131503009	131510415
GUSB	ENST00000430730	7	65960698	65982215
PIGP	ENST00000430792	21	37069552	37072997
B3GALT4	ENST00000430971	CHR_HSCHR6_MHC_MCF_CTG1	33447505	33449198
GALNT13	ENST00000431076	2	154140341	154409340
SLC35E3	ENST00000431174	12	68752089	68767245
GAL3ST1	ENST00000431313	22	30555432	30574511
GALNT11	ENST00000431668	7	152025714	152094522
GALNT11	ENST00000431940	7	152113245	152118769
CHST12	ENST00000432336	7	2404099	2433375
MAN2B1	ENST00000433513	19	12652245	12657235
ST3GAL5	ENST00000433665	2	85853059	85888911
LARGE1	ENST00000434071	22	33650449	33889228
CHST8	ENST00000434302	19	33621955	33773508
NEU1	ENST00000434496	CHR_HSCHR6_MHC_DBB_CTG1	31841237	31845091
GALNT11	ENST00000434507	7	152074298	152122160
B4GALT2	ENST00000434555	1	43979436	43991168
LAMP2	ENST00000434600	X	120427827	120469365
GNB1	ENST00000434686	1	1793245	1890401
SLC35B1	ENST00000435059	17	49703932	49707920
HYAL3	ENST00000435141	3	50295124	50295773
GMPPA	ENST00000435316	2	219498909	219505555
NEU4	ENST00000435855	2	241809193	241817408
NEU4	ENST00000435894	2	241811396	241814921
CHST15	ENST00000435907	10	124007668	124093598
EXT1	ENST00000436216	8	117822465	118110414
STT3B	ENST00000436236	3	31596806	31620296
UXS1	ENST00000436241	2	106123052	106138786
MFNG	ENST00000436341	22	37474563	37481371
SLC35E1	ENST00000436553	19	16553371	16572304
C1GALT1	ENST00000436587	7	7182544	7248616
ALG13	ENST00000436609	X	111681657	111760649
GLB1	ENST00000436768	3	33068919	33097202
HK1	ENST00000436817	10	69269984	69401884
XXYLT1	ENST00000437101	3	195068601	195184798
GNB1	ENST00000437146	1	1804526	1832285
EXT1	ENST00000437196	8	117799820	118111342
GAL3ST1	ENST00000437282	22	30555627	30560759
RPN2	ENST00000437329	20	37228634	37241418
SULT1C2	ENST00000437390	2	108288915	108308713
NEU1	ENST00000437432	CHR_HSCHR6_MHC_MANN_CTG1	31898675	31902529
GALNT15	ENST00000437509	3	16174709	16231992
GALNT3	ENST00000437849	2	165757068	165764959
SULF2	ENST00000437955	20	47702519	47785489
GLB1	ENST00000438227	3	33051907	33097146
UGGT1	ENST00000438277	2	128091208	128171390
SULT1C2	ENST00000438339	2	108288906	108304650
ARSL	ENST00000438544	X	2949623	2964264
ST6GAL1	ENST00000438590	3	186974957	187042995
COG1	ENST00000438720	17	73193072	73208504
CHST8	ENST00000438847	19	33621971	33773509
MFNG	ENST00000438891	22	37474512	37486379
GNB1	ENST00000439272	1	1790565	1890836
NEU1	ENST00000439648	CHR_HSCHR6_MHC_COX_CTG1	31846589	31850443
OGA	ENST00000439817	10	101784443	101818465
ST8SIA6	ENST00000440449	10	17318383	17327109
GLB1	ENST00000440656	3	33058087	33097146
TPST2	ENST00000440953	22	26541439	26590125
POMT1	ENST00000441334	9	131502918	131513331
UGT1A6	ENST00000441351	2	233691644	233693571
UXS1	ENST00000441952	2	106101047	106194299
POMGNT2	ENST00000441964	3	43079232	43105939
GAL3ST1	ENST00000441967	22	30555388	30566161
ST6GAL1	ENST00000442023	3	187043743	187075622
RENBP	ENST00000442361	X	153935999	153943943
GCNT1	ENST00000442371	9	76441666	76507414
DPAGT1	ENST00000442480	11	119096958	119102371
TPST2	ENST00000442495	22	26541206	26590125
MFNG	ENST00000442496	22	37479412	37484629
SLC35C1	ENST00000442528	11	45804072	45811558
HYAL2	ENST00000442581	3	50317812	50322777
SULT1C2	ENST00000442801	2	108293676	108308551
GAL3ST1	ENST00000443136	22	30555794	30572830
PIGQ	ENST00000443147	16	572506	583095
ASAH2	ENST00000443575	10	50187242	50240547
GMPPA	ENST00000443704	2	219498905	219506933
ALG5	ENST00000443765	13	36949775	36999367
NAGK	ENST00000443872	2	71068592	71078585
NAGK	ENST00000443938	2	71068619	71078641
UXS1	ENST00000444193	2	106112643	106160584
GCNT1	ENST00000444201	9	76459152	76507414
ST3GAL4	ENST00000444328	11	126355684	126414638
OGT	ENST00000444774	X	71534301	71544624
SLC35A2	ENST00000445167	X	48903613	48911669
ALG3	ENST00000445626	3	184242425	184249548
GAL3ST1	ENST00000445645	22	30555998	30572858
DPAGT1	ENST00000445653	11	119100629	119101832
GALE	ENST00000445705	1	23797094	23799570
TPST2	ENST00000445720	22	26535895	26540871
UGP2	ENST00000445915	2	63842325	63891561
MGAT1	ENST00000446023	5	180790548	180809829
GALNT11	ENST00000446096	7	152025742	152103156
GUSB	ENST00000446111	7	65975852	65982213
ST6GAL1	ENST00000446170	3	187025483	187042977
UGT1A6	ENST00000446481	2	233691710	233772341
ALG3	ENST00000446569	3	184242574	184248935
GLB1	ENST00000446732	3	33051881	33072715
SLC35A2	ENST00000446885	X	48905166	48911937
HYAL2	ENST00000447092	3	50317790	50322782
GAL3ST1	ENST00000447224	22	30555938	30560759
GNE	ENST00000447283	9	36217189	36258329
GALNT17	ENST00000447516	7	71300331	71415931
HYAL1	ENST00000447605	3	50300482	50303573
SLC35F5	ENST00000447673	2	113719212	113735856
ST6GALNAC6	ENST00000447681	9	127890637	127905330
GALNT11	ENST00000447778	7	152025776	152113373
GALNT11	ENST00000447796	7	152093991	152103172
ASAH2	ENST00000447815	10	50187242	50248610
GUSB	ENST00000447929	7	65960698	65982196
ST6GAL1	ENST00000448044	3	187021856	187078553
POMT1	ENST00000448212	9	131502978	131510311
ST6GAL1	ENST00000448408	3	186986316	187042998
ST6GAL1	ENST00000448449	3	187043016	187075852
GALNT16	ENST00000448469	14	69260158	69354466
GAL3ST1	ENST00000448604	22	30556010	30572869
HK1	ENST00000448642	10	69270000	69401879
MOGS	ENST00000448666	2	74461057	74465382
B4GALNT1	ENST00000449184	12	57628452	57633239
MAN1A2	ENST00000449370	1	117420597	117515939
ST3GAL4	ENST00000449406	11	126406187	126414606
B3GNT9	ENST00000449549	16	67148104	67150998
TPST2	ENST00000450022	22	26541490	26590125
GALT	ENST00000450095	9	34646589	34650598
UGT1A4	ENST00000450233	2	233718821	233773006
EXTL2	ENST00000450240	1	100874160	100894664
NAGK	ENST00000450272	2	71068647	71078613
GLB1	ENST00000450835	3	33068819	33096792
GALNT13	ENST00000450838	2	154301579	154450730
HYAL3	ENST00000450982	3	50293045	50299232
RENBP	ENST00000451114	X	153935333	153940215
B3GALT4	ENST00000451237	6	33277123	33278825
TPST1	ENST00000451388	7	66221604	66240847
SLC35E4	ENST00000451479	22	30636523	30669016
ST8SIA4	ENST00000451528	5	100885311	100903214
POFUT2	ENST00000451615	21	45267698	45285691
MOGS	ENST00000452063	2	74461179	74465396
CTNS	ENST00000452111	17	3636725	3648931
POMT2	ENST00000452340	14	77274958	77320704
SLC35A2	ENST00000452555	X	48904440	48911646
HYAL1	ENST00000452672	3	50302749	50304116
GAL3ST1	ENST00000452827	22	30555498	30560776
LCT	ENST00000452974	2	135794337	135812959
TPST2	ENST00000453117	22	26541485	26565726
STT3B	ENST00000453168	3	31532638	31620274
ARSA	ENST00000453344	22	50625029	50628173
GAL3ST1	ENST00000453479	22	30555924	30557730
ABO	ENST00000453660	9	133250401	133275219
GALNT13	ENST00000453715	2	154438592	154450745
CSGALNACT1	ENST00000454498	8	19404161	19602495
HS3ST6	ENST00000454677	16	1911475	1918415
TPST2	ENST00000454778	22	26541271	26550653
ALG3	ENST00000455059	3	184242469	184249520
COG6	ENST00000455146	13	39655662	39752628
NAGK	ENST00000455197	2	71068316	71073594
XXYLT1	ENST00000455281	3	195226724	195270861
ST6GAL1	ENST00000455441	3	186930532	187072901
GALNT14	ENST00000455477	2	30924785	31138055
OGT	ENST00000455587	X	71537014	71555214
GMPPA	ENST00000455657	2	219498907	219504132
NAGK	ENST00000455662	2	71068301	71078868
ST3GAL5	ENST00000455892	2	85848021	85888386
RPN2	ENST00000456102	20	37178410	37210150
EOGT	ENST00000456376	3	69007762	69013671
RPN2	ENST00000456400	20	37228678	37241429
LIPA	ENST00000456827	10	89213575	89252039
PAPSS2	ENST00000456849	10	87659878	87747705
MAN2B1	ENST00000456935	19	12646512	12666742
GALE	ENST00000456977	1	23795604	23796942
HYAL1	ENST00000457214	3	50300482	50303573
RENBP	ENST00000457282	X	153935275	153941969
ST6GAL1	ENST00000457772	3	186930526	187078553
UXS1	ENST00000457835	2	106122971	106194299
ARSD	ENST00000458014	X	2904918	2909920
HYAL2	ENST00000458018	3	50320127	50321217
SULF1	ENST00000458141	8	69466624	69660915
CMAHP	ENST00000458373	6	25108614	25166555
FUT3	ENST00000458379	19	5842890	5851449
UGT2B10	ENST00000458688	4	68815995	68830943
OGT	ENST00000459760	X	71553621	71556778
GALE	ENST00000459934	1	23795661	23800753
NEU1	ENST00000460116	CHR_HSCHR6_MHC_DBB_CTG1	31841237	31845001
GBA	ENST00000460156	1	155237932	155238891
DPAGT1	ENST00000460183	11	119100629	119101860
NEU1	ENST00000460245	CHR_HSCHR6_MHC_DBB_CTG1	31841237	31845007
B4GALT4	ENST00000460321	3	119216239	119240878
POGLUT1	ENST00000460339	3	119469000	119477407
B3GALNT1	ENST00000460353	3	161086664	161105303
B4GALT3	ENST00000460415	1	161175808	161177491
B3GNT5	ENST00000460419	3	183253795	183272426
XXYLT1	ENST00000460582	3	195069593	195087372
SLC35A5	ENST00000460615	3	112570439	112580756
NPL	ENST00000460690	1	182789449	182812190
COG6	ENST00000460701	13	39687543	39689820
SLC35A5	ENST00000460713	3	112563461	112583152
ST3GAL6	ENST00000460774	3	98732265	98784976
SLC35F5	ENST00000460863	2	113742600	113743898
POFUT2	ENST00000460932	21	45265400	45270094
GAL3ST4	ENST00000460995	7	100166599	100168135
ST3GAL3	ENST00000461066	1	43707643	43838311
GALNT14	ENST00000461193	2	30955929	31138021
ST3GAL5	ENST00000461199	2	85852968	85887940
ST3GAL5	ENST00000461206	2	85839149	85849576
ST3GAL3	ENST00000461375	1	43792107	43920550
NEU1	ENST00000461380	CHR_HSCHR6_MHC_DBB_CTG1	31839844	31844981
GCNT2	ENST00000461400	6	10529812	10621645
ALG3	ENST00000461415	3	184244759	184248950
NANS	ENST00000461452	9	98074643	98083075
GLB1	ENST00000461475	3	33014073	33030198
MGAT4A	ENST00000461884	2	98655862	98663473
ST3GAL5	ENST00000461892	2	85851394	85888910
GNB1	ENST00000461893	1	1787987	1794197
B3GALNT2	ENST00000461994	1	235480104	235484670
DPAGT1	ENST00000461999	11	119096511	119100409
RENBP	ENST00000462086	X	153942245	153943632
MAN2B1	ENST00000462144	19	12660897	12663418
ST3GAL6	ENST00000462152	3	98732379	98793944
RPN2	ENST00000462163	20	37179330	37207443
MOGS	ENST00000462189	2	74461070	74463646
STT3B	ENST00000462235	3	31533625	31617005
GUSB	ENST00000462371	7	65964330	65974847
B3GALNT2	ENST00000462374	1	235454287	235470930
POMT1	ENST00000462375	9	131508926	131513331
ALG6	ENST00000462390	1	63419394	63429829
CHST15	ENST00000462406	10	124046013	124093582
MOGS	ENST00000462443	2	74461102	74465410
LARGE1	ENST00000462606	22	33650375	33657216
ALG3	ENST00000462735	3	184243554	184245021
CMAHP	ENST00000462823	6	25127546	25138329
POMGNT1	ENST00000463030	1	46191616	46192341
UGGT2	ENST00000463054	13	95876902	95895248
ST6GALNAC6	ENST00000463086	9	127886754	127899593
PIGA	ENST00000463173	X	15321713	15325272
SULF2	ENST00000463221	20	47689548	47786054
GALNT3	ENST00000463254	2	165758618	165762025
NDST2	ENST00000463410	10	73806876	73807524
ALG3	ENST00000463495	3	184242961	184243996
PMM1	ENST00000463617	22	41576903	41580689
NPL	ENST00000463899	1	182789737	182827020
POFUT2	ENST00000463917	21	45267526	45270091
HS6ST1	ENST00000463963	2	128268690	128290196
GALNT14	ENST00000464038	2	30932117	31155202
NEU1	ENST00000464056	CHR_HSCHR6_MHC_MCF_CTG1	31935529	31939299
ST6GALNAC3	ENST00000464140	1	76313913	76577209
RENBP	ENST00000464227	X	153943058	153944232
IDS	ENST00000464251	X	149487287	149504219
PIGP	ENST00000464265	21	37062846	37072811
GLB1	ENST00000464355	3	33061668	33097043
DDOST	ENST00000464364	1	20655440	20661388
KHK	ENST00000464371	2	27094665	27099969
GBA	ENST00000464536	1	155234453	155235835
NAGK	ENST00000464638	2	71070300	71075630
ST6GAL1	ENST00000464827	3	187043108	187051539
B3GNT5	ENST00000464923	3	183254625	183270042
SLC35A1	ENST00000464978	6	87470623	87511803
B3GNT5	ENST00000465010	3	183265302	183271041
NEU1	ENST00000465061	CHR_HSCHR6_MHC_SSTO_CTG1	31851744	31855508
NAGK	ENST00000465105	2	71068650	71071019
CTBS	ENST00000465118	1	84554538	84574430
NEU1	ENST00000465161	CHR_HSCHR6_MHC_COX_CTG1	31845195	31850333
NEU1	ENST00000465246	CHR_HSCHR6_MHC_MANN_CTG1	31898675	31902445
SLC35A3	ENST00000465289	1	99970013	100026888
UGP2	ENST00000465515	2	63855909	63857971
GALT	ENST00000465543	9	34646668	34648171
CHPF2	ENST00000465601	7	151235451	151237593
FUT11	ENST00000465695	10	73772564	73775123
B4GALT3	ENST00000465740	1	161173859	161176156
COG6	ENST00000465775	13	39679596	39682473
GUSB	ENST00000465785	7	65974294	65979508
POFUT1	ENST00000465791	20	32216665	32231336
MAN2B1	ENST00000465830	19	12657455	12658617
COG3	ENST00000465942	13	45491469	45511998
ALG6	ENST00000465969	1	63413656	63429126
PAPSS2	ENST00000465996	10	87660357	87713182
IDS	ENST00000466019	X	149495483	149498266
DPM1	ENST00000466152	20	50934867	50958550
GALE	ENST00000466250	1	23798380	23800761
IDS	ENST00000466323	X	149487131	149505347
GLA	ENST00000466414	X	101397807	101398694
ST3GAL6	ENST00000466482	3	98732369	98782917
B4GALT3	ENST00000466504	1	161173605	161177479
HS3ST3B1	ENST00000466596	17	14301083	14349144
SLC35B4	ENST00000466599	7	134294606	134295177
UGP2	ENST00000466642	2	63840952	63884110
PMM1	ENST00000466645	22	41583983	41589796
UST	ENST00000466695	6	149066176	149074250
NEU1	ENST00000466720	CHR_HSCHR6_MHC_MANN_CTG1	31898675	31902428
MAN2B1	ENST00000466794	19	12646561	12666683
NEU1	ENST00000466841	CHR_HSCHR6_MHC_DBB_CTG1	31841237	31844990
GUSB	ENST00000466883	7	65960688	65976160
LAMP3	ENST00000466939	3	183123925	183162015
MFNG	ENST00000466943	22	37480211	37481067
GALE	ENST00000467070	1	23798694	23800773
UGGT2	ENST00000467305	13	95985047	96013476
UGP2	ENST00000467400	2	63841043	63882607
GALE	ENST00000467493	1	23797696	23799436
GLB1	ENST00000467571	3	33016708	33038019
FPGT	ENST00000467578	1	74198238	74204593
B4GALT4	ENST00000467604	3	119211740	119240878
NEU1	ENST00000467620	CHR_HSCHR6_MHC_APD_CTG1	31926075	31929828
UGP2	ENST00000467648	2	63840969	63891451
CTNS	ENST00000467663	17	3636758	3655263
ST6GALNAC4	ENST00000467674	9	127908344	127917018
GALNT17	ENST00000467723	7	71300742	71713598
SULF2	ENST00000467815	20	47657668	47786554
POMT1	ENST00000467848	9	131518768	131521404
GBA	ENST00000467918	1	155239635	155244606
UGP2	ENST00000467999	2	63842416	63884032
GALT	ENST00000468099	9	34646633	34647517
B3GALNT1	ENST00000468268	3	161086422	161105303
POFUT2	ENST00000468360	21	45269851	45287884
ST3GAL6	ENST00000468553	3	98763317	98782460
SLC35A5	ENST00000468642	3	112562037	112570574
ALG13	ENST00000468657	X	111681179	111688254
MGAT5	ENST00000468758	2	134119983	134254644
GLA	ENST00000468823	X	101398516	101400853
COG2	ENST00000468893	1	230642505	230693625
HS6ST1	ENST00000469019	2	128236716	128318396
SLC35E1	ENST00000469055	19	16553849	16555601
ST3GAL6	ENST00000469105	3	98732266	98795254
MAN2B1	ENST00000469423	19	12646511	12647584
COG5	ENST00000469503	7	107547998	107548332
GALE	ENST00000469556	1	23796004	23797069
ST3GAL3	ENST00000469715	1	43736263	43930522
KHK	ENST00000469936	2	27094198	27097568
EXTL1	ENST00000470037	1	26032130	26035004
HK1	ENST00000470050	10	69392279	69401118
UXS1	ENST00000470053	2	106100773	106104824
SLC35E1	ENST00000470077	19	16555349	16566591
B4GALT4	ENST00000470111	3	119229936	119240878
DPM2	ENST00000470181	9	127935341	127937818
LAMP3	ENST00000470251	3	183153940	183162882
RPN2	ENST00000470352	20	37229870	37241417
GALE	ENST00000470383	1	23798327	23800752
PIGQ	ENST00000470411	16	570062	577217
GBGT1	ENST00000470431	9	133152953	133163919
GALNT12	ENST00000470473	9	98848772	98849634
ST6GAL1	ENST00000470633	3	187071974	187078551
B4GALT3	ENST00000470882	1	161171311	161177420
GALE	ENST00000470949	1	23797074	23799436
SLC35B4	ENST00000470969	7	134299309	134316897
ALG13	ENST00000470971	X	111681207	111760649
NPL	ENST00000471010	1	182792231	182806532
RENBP	ENST00000471056	X	153943535	153944611
GNB1	ENST00000471354	1	1789061	1818386
CMAHP	ENST00000471416	6	25081068	25084785
POFUT2	ENST00000471540	21	45263928	45283494
B4GALT4	ENST00000471675	3	119211742	119230053
ALG13	ENST00000471924	X	111681267	111708166
DPAGT1	ENST00000472016	11	119100930	119101853
UGP2	ENST00000472047	2	63854845	63884003
FPGT	ENST00000472069	1	74198351	74204577
GALT	ENST00000472111	9	34646664	34648486
OGT	ENST00000472270	X	71533128	71536657
GBGT1	ENST00000472281	9	133152953	133163919
NAGK	ENST00000472519	2	71068665	71078620
LAMP1	ENST00000472564	13	113304932	113323430
PMM1	ENST00000472620	22	41576931	41589871
NEU1	ENST00000472801	CHR_HSCHR6_MHC_SSTO_CTG1	31850351	31855488
ST3GAL5	ENST00000473122	2	85848113	85888908
B3GALNT1	ENST00000473142	3	161086579	161105298
XXYLT1	ENST00000473200	3	195069631	195154103
NEU1	ENST00000473226	CHR_HSCHR6_MHC_QBL_CTG1	31849431	31853195
NEU1	ENST00000473255	CHR_HSCHR6_MHC_MCF_CTG1	31935529	31939293
B3GALNT1	ENST00000473285	3	161084983	161104549
UXS1	ENST00000473338	2	106093604	106097710
DPM2	ENST00000473360	9	127935383	127937779
ALG13	ENST00000473389	X	111681189	111688128
HS3ST2	ENST00000473392	16	22814497	22916319
GALT	ENST00000473506	9	34646638	34648894
GALT	ENST00000473529	9	34646658	34648828
GBA	ENST00000473570	1	155238564	155244622
UST	ENST00000473631	6	148953907	149005588
POGLUT1	ENST00000473648	3	119488043	119493146
COG2	ENST00000473671	1	230642521	230660873
MAN1C1	ENST00000473891	1	25686502	25761684
NEU1	ENST00000473972	CHR_HSCHR6_MHC_COX_CTG1	31846589	31850359
ST6GALNAC4	ENST00000474282	9	127908325	127912394
GALC	ENST00000474294	14	87963272	87993154
UGCG	ENST00000474306	9	111929249	111931308
SULF2	ENST00000474450	20	47684514	47757331
GCNT2	ENST00000474518	6	10521485	10621422
ST3GAL6	ENST00000474595	3	98772242	98793765
OGT	ENST00000474633	X	71564664	71567973
PIGA	ENST00000474662	X	15325607	15335523
UAP1	ENST00000474728	1	162581431	162588105
MAN1B1	ENST00000474902	9	137089181	137109181
MAN1C1	ENST00000475314	1	25777589	25783976
GUSB	ENST00000475316	7	65974503	65982088
GALNT14	ENST00000475320	2	30910599	30924823
HS3ST4	ENST00000475436	16	25886746	26136207
MAN1B1	ENST00000475449	9	137107264	137109119
UGP2	ENST00000475462	2	63842438	63884063
UGP2	ENST00000475550	2	63841851	63891562
GCNT2	ENST00000475577	6	10521351	10626616
COG5	ENST00000475638	7	107372595	107549259
NAGK	ENST00000475709	2	71068650	71078636
PIGA	ENST00000475746	X	15321701	15325100
NEU1	ENST00000475767	CHR_HSCHR6_MHC_SSTO_CTG1	31851744	31855514
B4GALT4	ENST00000475803	3	119226886	119240878
RENBP	ENST00000475904	X	153943614	153944643
LAMP3	ENST00000476015	3	183153901	183163839
C1GALT1	ENST00000476068	7	7182630	7235297
LARGE1	ENST00000476315	22	33562913	33565019
HYAL4	ENST00000476325	7	123848070	123877185
GUSB	ENST00000476486	7	65975012	65981971
NEU4	ENST00000476542	2	241809193	241814932
POGLUT1	ENST00000476573	3	119468963	119485357
POFUT2	ENST00000476653	21	45285483	45287892
COG3	ENST00000476702	13	45465064	45466624
CHST15	ENST00000476765	10	124021082	124038619
ALG2	ENST00000476832	9	99216425	99221942
ST3GAL6	ENST00000476833	3	98763309	98782500
RPN1	ENST00000476931	3	128638038	128650820
B3GALNT1	ENST00000476999	3	161085466	161105235
DDOST	ENST00000477229	1	20660399	20661369
ST3GAL6	ENST00000477574	3	98770389	98788072
NEU1	ENST00000477637	CHR_HSCHR6_MHC_COX_CTG1	31846772	31850353
CTBS	ENST00000477677	1	84553121	84574480
B3GALNT2	ENST00000477694	1	235454212	235465799
GALC	ENST00000477716	14	87968393	87976864
ST6GALNAC5	ENST00000477717	1	76867480	77067546
ST3GAL6	ENST00000477899	3	98783511	98791993
ALG3	ENST00000477959	3	184244329	184245342
UGT1A6	ENST00000478062	2	233693685	233729917
GUSB	ENST00000478118	7	65979478	65980829
PIGC	ENST00000478184	1	172442331	172443946
ST6GALNAC6	ENST00000478319	9	127894549	127899535
PMM1	ENST00000478337	22	41584006	41589825
GBA	ENST00000478472	1	155234961	155236459
